Plant_ID,Species,Recorder,Bud_Date,Flower_Date,Notes
B2.PLAERE.1,PLAERE,CAM,4/1/23,4/24/23,
B2.TRIHIR.1,TRIHIR,JBL,NA,6/2/23,"no envelope in one bag, found another larger bag with envelope later"
B3.AVEFAT.1,AVEFAT,NA,NA,NA,
B3.BRODIA.1,BRODIA,JBL,3/30/23,4/1/23,
B3.BROHOR.1,BROHOR,MH,4/12/23,4/26/23,
B3.BROMAD.1,BROMAD,AS,,3/30/23,
B3.CALMEN.1,CALMEN,JBL,NA,NA,
B3.CENMEL.1,CENMEL,JBL,NA,5/24/23,
B3.CORFIL.1,CORFIL,,,,
B3.EROCIC.1,EROCIC,JBL,NA,3/30/23,
B3.ESCCAL.1,ESCCAL,,,,
B3.MICCAL.1,MICCAL,HR,4/12/23,4/26/23,
B3.STIPUL.1,STIPUL,,,,
B4.ACMPAR.1,ACMPAR,NA,NA,NA,
B4.AIRCAR.1,AIRCAR,JBL,NA,5/15/23,
B4.BRODIA.1,BRODIA,CAM,NA,5/22/23,
B4.BROHOR.1,BROHOR,,,,
B4.CLAPUR.1,CLAPUR,,,,
B4.DANCAL.1,DANCAL,,,,
B4.DAUPUS.1,DAUPUS,AS,5/7/23,3/37/23,
B4.ESCCAL.1,ESCCAL,,,,
B4.GALPAR.1,GALPAR,AS,,4/26/23,
B4.HYPGLA.1,HYPGLA,HR,4/12/23,4/26/23,
B4.MADGRA.1,MADGRA,,,,
B4.SANBIP.1,SANBIP,,,,
B5.AVEBAR.1,AVEBAR,JBL,NA,4/12/23,
B5.BRODIA.1,BRODIA,CAM,NA,5/8/23,
B5.BROHOR.1,BROHOR,MH,NA,4/26/23,
B5.BROMAD.1,BROMAD,,,,
B5.CLAPUR.1,CLAPUR,,,,
B5.ELYCAP.1,ELYCAP,JBL,NA,5/10/23,
B5.EROBOT.1,EROBOT,AS,3/20/23,3/27/23,
B5.HOLVIR.1,HOLVIR,,,,
B5.LUPBIC.1,LUPBIC,AS,4/1/23,4/12/23,
B5.MICCAL.1,MICCAL,HR,4/12/23,4/26/23,
B5.PLAERE.1,PLAERE,CAM,4/5/23,4/8/23,
B5.TRIHIR.1,TRIHIR,JBL,NA,5/19/23,
B6.AVEFAT.1,AVEFAT,NA,NA,NA,
B6.BRODIA.1,BRODIA,CAM,4/1/23,4/12/23,
B6.BROHOR.1,BROHOR,MH,4/5/23,4/12/23,
B6.BROMAD.1,BROMAD,AS,,4/12/23,
B6.CALMEN.1,CALMEN,,,,
B6.CENMEL.1,CENMEL,CAM,NA,5/24/23,
B6.CORFIL.1,CORFIL,,,,
B6.EROCIC.1,EROCIC,JBL,NA,3/13/23,"there was another bag witha  date in may, this bag said whole plant bag not found yet on the fls bag, just put down the earliest date."
B6.ESCCAL.1,ESCCAL,,,,
B6.MICCAL.1,MICCAL,HR,NA,4/27/23,
B6.STIPUL.1,STIPUL,,,,
B7.AVEBAR.1-B1,AVEBAR,NA,NA,NA,
B7.BRODIA.1,BRODIA,CAM,NA,4/27/23,
B7.BROHOR.1,BROHOR,MH,NA,4/27/23,
B7.CLAPUR.1,CLAPUR,,,,
B7.DAUPUS.1,DAUPUS,AS,4/27/23,4/7/23,
B7.EROBOT.1,EROBOT,,,,
B7.GERDIS.1,GERDIS,AS,,3/30/23,
B7.LUPBIC.1,LUPBIC,,,,
B7.MADGRA.1,MADGRA,AS,,4/27/23,
B7.TORARV.1,TORARV,CAM,NA,6/2/23,
B7.TRIHIR.1,TRIHIR,,,,
B7.VICSAT.1,VICSAT,MH,NA,4/27/23,
B8.AMSMEN.1,AMSMEN,JBL,3/24/23,4/1/23,
B8.AVEBAR.1,AVEBAR,JBL,NA,4/27/23,
B8.BROARE.1,BROARE,JBL,NA,3/20/23,
B8.BRODIA.1,BRODIA,JBL,NA,4/27/23,
B8.BROMAD.1,BROMAD,AS,4/1/23,4/5/23,
B8.CAUCOU.1,CAUCOU,,,,
B8.EROCIC.1,EROCIC,JBL,NA,3/6/23,
B8.ESCCAL.1,ESCCAL,,,,
B8.LUPMIC.1,LUPMIC,,,,
B8.LUPSUC.1,LUPSUC,,,,
B8.MIRMUL.1,MIRMUL,,,,
B8.PHATAN.1,PHATAN,,,,
C1.AVEBAR.1,AVEBAR,JBL,4/12/23,5/5/23,
C1.BRODIA.1,BRODIA,CAM,NA,5/10/23,
C1.BROHOR.1,BROHOR,HR,NA,4/28/23,
C1.BROMAD.1,BROMAD,AS,4/12/23,4/28/23,
C1.CLAPUR.1,CLAPUR,,,,
C1.ELYCAP.1,ELYCAP,JBL,NA,5/10/23,
C1.EROBOT.1,EROBOT,,,,
C1.HOLVIR.1,HOLVIR,,,,
C1.LUPBIC.1,LUPBIC,AS,4/28/23,,
C1.MICCAL.1,MICCAL,HR,NA,4/28/23,
C1.PLAERE.1,PLAERE,CAM,4/12/23,4/28/23,
C1.TRIHIR.1,TRIHIR,JBL,4/28/23,5/19/23,
C2.AVEFAT.1,AVEFAT,JBL,NA,4/3/23,
C2.BRODIA.1,BRODIA,CAM,3/24/23,4/1/23,
C2.BROHOR.1,BROHOR,MH,NA,4/28/23,
C2.BROMAD.1,BROMAD,AS,3/24/23,4/1/23,
C2.CALMEN.1,CALMEN,JBL,NA,4/12/23,
C2.CENMEL.1,CENMEL,JBL,4/28/23,5/24/23,
C2.CORFIL.1,CORFIL,,,,
C2.EROCIC.1,EROCIC,,,,
C2.ESCCAL.1,ESCCAL,,,,
C2.MICCAL.1,MICCAL,HR,NA,4/28/23,
C2.STIPUL.1,STIPUL,,,,
C3.ACMPAR.1,ACMPAR,NA,NA,NA,
C3.AIRCAR.1,AIRCAR,JBL,NA,5/4/23,
C3.BRODIA.1,BRODIA,JBL,NA,5/22/23,
C3.BROHOR.1,BROHOR,HR,NA,5/17/23,
C3.CLAPUR.1,CLAPUR,,,,
C3.DANCAL.1,DANCAL,,,,
C3.DAUPUS.1-C8,DAUPUS,,,,
C3.ESCCAL.1,ESCCAL,,,,
C3.GALPAR.1,GALPAR,AS,5/18/23,5/31/23,
C3.HYPGLA.1,HYPGLA,HR,5/10/23,6/1/23,
C3.MADGRA.1,MADGRA,JBL,5/19/23,NA,
C3.SANBIP.1,SANBIP,,,,
C4.AVEBAR.1,AVEBAR,JBL,4/12/23,5/5/23,
C4.BRODIA.1,BRODIA,HR,NA,4/29/23,
C4.BROHOR.1,BROHOR,HR,NA,4/28/23,
C4.CLAPUR.1,CLAPUR,,,,
C4.DAUPUS.1,DAUPUS,AS,4/29/23,5/7/23,
C4.EROBOT.1,EROBOT,,,,
C4.GERDIS.1,GERDIS,AS,,4/12/23,
C4.LUPBIC.1,LUPBIC,,,,
C4.MADGRA.1,MADGRA,JBL,4/12/23,4/29/23,
C4.TORARV.1,TORARV,CAM,4/28/23,5/18/23,
C4.TRIHIR.1,TRIHIR,JBL,5/19/23,6/2/23,
C4.VICSAT.1,VICSAT,HR,4/12/23,4/29/23,
C5.AVEBAR.1,AVEBAR,NA,NA,NA,
C5.BRODIA.1,BRODIA,CAM,4/10/23,5/10/23,
C5.BROHOR.1,BROHOR,HR,4/29/23,5/17/23,
C5.CLAPUR.1,CLAPUR,,,,
C5.DAUPUS.1,DAUPUS,,4/29/23,5/7/23,
C5.EROBOT.1,EROBOT,AS,3/20/23,3/30/23,
C5.GERDIS.1,GERDIS,AS,3/20/23,3/30/23,
C5.LUPBIC.1,LUPBIC,AS,,,no dates on envelope
C5.MADGRA.1,MADGRA,AS,,4/29/23,
C5.TORARV.1,TORARV,,,,
C5.TRIHIR.1,TRIHIR,JBL,NA,6/21/23,
C5.VICSAT.1,VICSAT,HR,4/12/23,4/29/23,
C6.AMSMEN.1,AMSMEN,JBL,NA,NA,
C6.AVEBAR.1,AVEBAR,JBL,NA,4/8/23,
C6.BROARE.1,BROARE,JBL,NA,3/13/24,
C6.BRODIA.1,BRODIA,JBL,4/12/23,4/29/23,
C6.BROMAD.1,BROMAD,AS,4/1/23,4/8/23,
C6.CAUCOU.1,CAUCOU,,,,
C6.EROCIC.1,EROCIC,,,,
C6.ESCCAL.1,ESCCAL,,,,
C6.LUPMIC.1,LUPMIC,,,,
C6.LUPSUC.1,LUPSUC,,,,
C6.MIRMUL.1,MIRMUL,,,,
C6.PHATAN.1,PHATAN,CAM,3/20/23,4/5/23,
C7.AMSMEN.1,AMSMEN,JBL,NA,NA,
C7.AVEBAR.1,AVEBAR,JBL,NA,4/1/23,
C7.BROARE.1,BROARE,JBL,NA,3/13/23,
C7.BRODIA.1,BRODIA,CAM,NA,4/29/23,
C7.BROMAD.1,BROMAD,AS,3/24/23,4/3/23,
C7.CAUCOU.1,CAUCOU,,,,
C7.EROCIC.1,EROCIC,JBL,NA,NA,
C7.ESCCAL.1,ESCCAL,JBL,3/20/23,NA,
C7.LUPMIC.1,LUPMIC,AS,4/12/23,4/29/23,
C7.LUPSUC.1,LUPSUC,,,,
C7.MIRMUL.1,MIRMUL,,,,
C7.PHATAN.1,PHATAN,,,,
C8.ACMPAR.1,ACMPAR,NA,NA,NA,
C8.AIRCAR.1,AIRCAR,JBL,NA,4/29/23,
C8.BRODIA.1,BRODIA,JBL,NA,5/22/23,
C8.BROHOR.1,BROHOR,HR,NA,5/23/23,
C8.CLAPUR.1,CLAPUR,,,,
C8.DANCAL.1,DANCAL,,,,
C8.DAUPUS.1,DAUPUS,AS,4/29/23,5/7/23,
C8.ESCCAL.1,ESCCAL,,,,
C8.GALPAR.1,GALPAR,,,,
C8.HYPGLA.1,HYPGLA,HR,NA,4/29/23,
C8.MADGRA.1,MADGRA,,,,
C8.SANBIP.1,SANBIP,,,,
D1.ACMPAR.1,ACMPAR,NA,NA,NA,
D1.AIRCAR.1,AIRCAR,JBL,4/24/23,5/4/23,
D1.BRODIA.1,BRODIA,JBL,NA,5/22/23,
D1.BROHOR.1,BROHOR,MH,NA,5/17/23,
D1.CLAPUR.1,CLAPUR,,,,
D1.DANCAL.1,DANCAL,,,,
D1.DAUPUS.1,DAUPUS,,,,
D1.ESCCAL.1,ESCCAL,,,,
D1.GALPAR.1,GALPAR,,,,
D1.HYPGLA.1,HYPGLA,HR,4/24/23,6/1/23,
D1.MADGRA.1,MADGRA,JBL,NA,5/21/23,
D1.SANBIP.1,SANBIP,,,,
D2.AVEBAR.1,AVEBAR,JBL,4/24/23,6/7/23,
D2.BRODIA.1,BRODIA,CAM,4/24/23,5/10/23,
D2.BROHOR.1,BROHOR,HR,NA,5/17/23,
D2.CLAPUR.1,CLAPUR,,,,
D2.DAUPUS.1,DAUPUS,AS,5/7/23,5/31/23,
D2.EROBOT.1,EROBOT,,,,
D2.GERDIS.1,GERDIS,AS,,4/12/23,
D2.LUPBIC.1,LUPBIC,,,,
D2.MADGRA.1,MADGRA,AS,4/29/23,5/21/23,
D2.TORARV.1,TORARV,CAM,NA,5/18/23,
D2.TRIHIR.1,TRIHIR,,NA,4/16/23,"two bags taped together, one said B2 one said P2"
D2.VICSAT.1,VICSAT,MH,NA,4/12/23,
D3.AMSMEN.1,AMSMEN,JBL,NA,NA,
D3.AVEBAR.1,AVEBAR,NA,NA,NA,
D3.BROARE.1,BROARE,JBL,NA,3/30/23,
D3.BRODIA.1,BRODIA,JBL,4/24/23,5/10/23,
D3.BROMAD.1,BROMAD,AS,4/12/23,4/24/23,
D3.CAUCOU.1,CAUCOU,,,,
D3.EROCIC.1,EROCIC,JBL,4/12/23,4/24/23,
D3.ESCCAL.1,ESCCAL,JBL,NA,NA,
D3.LUPMIC.1,LUPMIC,,,,
D3.LUPSUC.1,LUPSUC,,,,
D3.MIRMUL.1,MIRMUL,,,,
D3.PHATAN.1,PHATAN,CAM,NA,5/11/23,
D4.AVEBAR.1,AVEBAR,JBL,NA,6/7/23,
D4.BRODIA.1,BRODIA,JBL,4/23/23,5/10/23,bud date said 2024 but I assume that's a mistake
D4.BROHOR.1,BROHOR,MH,4/24/23,5/17/23,
D4.BROMAD.1,BROMAD,AS,4/23/23,5/17/23,
D4.CLAPUR.1,CLAPUR,,,,
D4.ELYCAP.1,ELYCAP,CAM,5/10/23,5/26/23,
D4.EROBOT.1,EROBOT,,,,
D4.HOLVIR.1,HOLVIR,,,,
D4.LUPBIC.1,LUPBIC,,,,
D4.MICCAL.1,MICCAL,HR,NA,4/24/23,
D4.PLAERE.1,PLAERE,CAM,4/13/23,4/24/23,
D4.TRIHIR.1,TRIHIR,JBL,4/24/23,5/19/24,
D5.AMSMEN.1,AMSMEN,JBL,NA,NA,
D5.AVEBAR.1,AVEBAR,JBL,NA,4/24/23,
D5.BROARE.1,BROARE,JBL,NA,3/24/23,
D5.BRODIA.1,BRODIA,JBL,4/24/23,5/10/23,
D5.BROMAD.1,BROMAD,AS,4/1/23,4/12/23,
D5.CAUCOU.1,CAUCOU,,,,
D5.EROCIC.1,EROCIC,,,,
D5.ESCCAL.1,ESCCAL,,,,
D5.LUPMIC.1,LUPMIC,JBL,4/5/23,4/24/23,
D5.LUPSUC.1,LUPSUC,,,,
D5.MIRMUL.1,MIRMUL,,,,
D5.PHATAN.1,PHATAN,CAM,NA,5/1/23,
D6.AVEBAR.1,AVEBAR,JBL,4/24/23,6/7/23,
D6.BRODIA.1,BRODIA,HR,4/29/23,5/10/23,
D6.BROHOR.1,BROHOR,,,,
D6.CLAPUR.1,CLAPUR,,,,
D6.DAUPUS.1,DAUPUS,AS,5/7/23,5/31/23,
D6.EROBOT.1,EROBOT,,,,
D6.GERDIS.1,GERDIS,AS,4/8/23,4/12/23,
D6.LUPBIC.1,LUPBIC,AS,,5/11/23,
D6.MADGRA.1,MADGRA,JBL,NA,5/21/23,
D6.TORARV.1,TORARV,CAM,NA,5/18/23,
D6.TRIHIR.1,TRIHIR,JBL,NA,5/19/23,
D6.VICSAT.1,VICSAT,HR,NA,4/24/23,
D7.AVEFAT.1,AVEFAT,JBL,NA,4/24/23,
D7.BRODIA.1,BRODIA,CAM,4/1/23,4/8/23,
D7.BROHOR.1,BROHOR,,,,
D7.BROMAD.1,BROMAD,AS,4/12/23,4/24/23,
D7.CALMEN.1,CALMEN,,,,
D7.CENMEL.1,CENMEL,JBL,NA,5/24/23,
D7.CORFIL.1,CORFIL,,,,
D7.EROCIC.1,EROCIC,,,,
D7.ESCCAL.1,ESCCAL,,,,
D7.MICCAL.1,MICCAL,HR,NA,4/25/23,
D7.STIPUL.1,STIPUL,,,,
D8.AVEFAT.1,AVEFAT,NA,NA,NA,
D8.BRODIA.1,BRODIA,JBL,4/1/23,4/12/23,
D8.BROHOR.1,BROHOR,MH,NA,4/24/23,
D8.BROMAD.1,BROMAD,AS,4/12/23,4/24/23,
D8.CALMEN.1,CALMEN,,,,
D8.CENMEL.1,CENMEL,CAM,NA,5/24/23,
D8.CORFIL.1,CORFIL,,,,
D8.EROCIC.1,EROCIC,,,,
D8.ESCCAL.1,ESCCAL,,,,
D8.MICCAL.1,MICCAL,JBL,NA,NA,Not present
D8.STIPUL.1,STIPUL,,,,
E1.ACMPAR.1,ACMPAR,NA,NA,NA,
E1.AIRCAR.1,AIRCAR,JBL,NA,5/4/23,
E1.BRODIA.1,BRODIA,JBL,NA,5/23/23,
E1.BROHOR.1,BROHOR,MH,NA,5/17/23,
E1.CLAPUR.1,CLAPUR,,,,
E1.DANCAL.1,DANCAL,,,,
E1.DAUPUS.1,DAUPUS,AS,5/7/23,5/31/23,
E1.ESCCAL.1,ESCCAL,,,,
E1.GALPAR.1,GALPAR,AS,,5/18/23,
E1.HYPGLA.1,HYPGLA,HR,4/29/23,,
E1.MADGRA.1,MADGRA,AS,5/21/23,,No flowering date recorded
E1.SANBIP.1,SANBIP,,,,
E2.AMSMEN.1,AMSMEN,JBL,NA,NA,
E2.AVEBAR.1,AVEBAR,JBL,4/13/23,4/29/23,
E2.BROARE.1,BROARE,JBL,NA,3/24/23,
E2.BRODIA.1,BRODIA,CAM,NA,4/29/23,
E2.BROMAD.1,BROMAD,AS,4/1/23,4/13/23,
E2.CAUCOU.1,CAUCOU,,,,
E2.EROCIC.1,EROCIC,JBL,NA,4/29/24,
E2.ESCCAL.1,ESCCAL,,,,
E2.LUPMIC.1,LUPMIC,AS,4/1/23,4/29/23,
E2.LUPSUC.1,LUPSUC,,,,
E2.MIRMUL.1,MIRMUL,,,,
E2.PHATAN.1A,PHATAN,CAM,4/1/23,4/13/23,
E2.PHATAN.1B,PHATAN,,,,
E3.ACMPAR.1,ACMPAR,NA,NA,NA,
E3.AIRCAR.1,AIRCAR,JBL,4/29/23,5/4/23,
E3.BRODIA.1,BRODIA,HR,NA,5/23/23,
E3.BROHOR.1,BROHOR,MH,4/29/23,5/17/23,
E3.CLAPUR.1,CLAPUR,,,,
E3.DANCAL.1,DANCAL,,,,
E3.DAUPUS.1,DAUPUS,AS,,5/31/23,
E3.ESCCAL.1,ESCCAL,,,,
E3.GALPAR.1,GALPAR,AS,,4/29/23,
E3.HYPGLA.1,HYPGLA,HR,4/13/23,4/29/23,
E3.MADGRA.1,MADGRA,JBL,NA,5/21/23,
E3.SANBIP.1,SANBIP,,,,
E4.AMSMEN.1,AMSMEN,JBL,NA,NA,
E4.AVEBAR.1,AVEBAR,JBL,4/13/23,4/29/23,
E4.BROARE.1,BROARE,JBL,NA,3/20/23,
E4.BRODIA.1,BRODIA,JBL,NA,5/10/23,
E4.BROMAD.1,BROMAD,AS,4/1/23,4/13/23,
E4.CAUCOU.1,CAUCOU,,,,
E4.EROCIC.1,EROCIC,,,,
E4.ESCCAL.1,ESCCAL,,,,
E4.LUPMIC.1,LUPMIC,JBL,4/29/23,5/18/23,
E4.LUPSUC.1,LUPSUC,,,,
E4.MIRMUL.1,MIRMUL,,,,
E4.PHATAN.1-E2,PHATAN,,,,
E5.AVEFAT.1,AVEFAT,JBL,NA,4/13/23,
E5.BRODIA.1,BRODIA,CAM,4/1/23,4/8/23,
E5.BROHOR.1,BROHOR,HR,NA,5/16/23,
E5.BROMAD.1,BROMAD,AS,4/13/23,4/29/23,
E5.CALMEN.1,CALMEN,,,,
E5.CENMEL.1,CENMEL,CAM,NA,5/24/23,
E5.CORFIL.1,CORFIL,,,,
E5.EROCIC.1,EROCIC,JBL,4/1/23,4/13/23,
E5.ESCCAL.1,ESCCAL,,,,
E5.MICCAL.1,MICCAL,HR,NA,4/29/23,
E5.STIPUL.1,STIPUL,,,,
E6.AVEFAT.1,AVEFAT,NA,NA,NA,
E6.BRODIA.1,BRODIA,CAM,4/1/23,4/13/23,
E6.BROHOR.1,BROHOR,,,,
E6.BROMAD.1,BROMAD,AS,,5/17/23,
E6.CALMEN.1,CALMEN,JBL,NA,4/13/23,
E6.CENMEL.1,CENMEL,CAM,NA,5/24/23,
E6.CORFIL.1,CORFIL,,,,
E6.EROCIC.1,EROCIC,JBL,NA,4/13/23,
E6.ESCCAL.1,ESCCAL,,,,
E6.MICCAL.1,MICCAL,HR,NA,4/29/23,
E6.STIPUL.1,STIPUL,,,,
E7.AVEBAR.1,AVEBAR,JBL,NA,5/21/23,
E7.BRODIA.1,BRODIA,JBL,4/30/23,5/10/23,
E7.BROHOR.1,BROHOR,HR,4/30/23,5/17/23,
E7.BROMAD.1,BROMAD,AS,,4/30/23,
E7.CLAPUR.1,CLAPUR,,,,
E7.ELYCAP.1,ELYCAP,CAM,NA,5/26/23,
E7.EROBOT.1,EROBOT,MH,NA,NA,
E7.HOLVIR.1,HOLVIR,,,,
E7.LUPBIC.1,LUPBIC,AS,4/13/23,4/30/23,
E7.MICCAL.1,MICCAL,HR,NA,4/30/23,
E7.PLAERE.1,PLAERE,CAM,4/13/23,4/24/23,
E7.TRIHIR.1,TRIHIR,JBL,NA,4/30/23,
E8.AVEBAR.1,AVEBAR,JBL,4/30/23,5/21/23,
E8.BRODIA.1,BRODIA,CAM,NA,4/30/23,
E8.BROHOR.1,BROHOR,HR,NA,4/29/23,
E8.CLAPUR.1,CLAPUR,,,,
E8.DAUPUS.1,DAUPUS,AS,5/7/23,5/31/23,
E8.EROBOT.1,EROBOT,HR,4/13/23,5/26/23,bud date was from another bag 
E8.GERDIS.1,GERDIS,AS,,4/13/23,
E8.LUPBIC.1,LUPBIC,AS,5/11/23,,
E8.MADGRA.1,MADGRA,AS,4/30/23,NA,No flowering date recorded
E8.TORARV.1,TORARV,CAM,NA,5/18/23,
E8.TRIHIR.1,TRIHIR,,,,
E8.VICSAT.1,VICSAT,MH,NA,4/30/23,
F1.ACMPAR.1,ACMPAR,NA,NA,NA,
F1.AIRCAR.1,AIRCAR,JBL,NA,5/4/23,
F1.BRODIA.1,BRODIA,HR,NA,5/15/23,
F1.BROHOR.1,BROHOR,MH,NA,6/12/23,
F1.CLAPUR.1,CLAPUR,,,,
F1.DANCAL.1,DANCAL,,,,
F1.DAUPUS.1,DAUPUS,AS,,5/31/23,
F1.ESCCAL.1,ESCCAL,,,,
F1.GALPAR.1,GALPAR,AS,,5/18/23,
F1.HYPGLA.1,HYPGLA,HR,NA,5/10/23,
F1.MADGRA.1,MADGRA,AS,,5/27/23,
