Site,Date,Plot,Species,% Cover,Notes,Block,Shelter,Plot_number,Population,Treatment,Scientific_Name,Native_Status,Growth_Habit,Growth_2,Perenniality,Rating,Rating_2,Source
OTL,4/13/25,B2,BRODIA,12,3,2,B,2,MCL,Drought,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B2,BROMAD,5,5,2,B,2,MCL,Drought,Bromus madritensis,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/13/25,B2,TRIHIR,20,4,2,B,2,MCL,Drought,Trifolium hirtum,Non-native,Forb,Nfixer,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,B2,MICCAL,1,6,2,B,2,MCL,Drought,Micropus californicus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B2,EPI-1,1,1,2,B,2,MCL,Drought,Epilobium brachycarpum,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B2,LUPBIC,1,8,2,B,2,MCL,Drought,Lupinus bicolor,Native,Forb,Nfixer,Annual,Native,Native,CalFlora
OTL,4/13/25,B2,PLAERE,1,9,2,B,2,MCL,Drought,Plantago erecta,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B2,ELYCAP,5,2,2,B,2,MCL,Drought,Elymus caput-medusae,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/13/25,B2,CLAPUR,2,2,2,B,2,MCL,Drought,Clarkia purpurea,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B2,EROBOT,2,7,2,B,2,MCL,Drought,Erodium botrys,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,B3,Bare,14,NA,2,B,3,SEDG,Drought,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,B3,Litter,16,NA,2,B,3,SEDG,Drought,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,B3,AVEFAT,2,10,2,B,3,SEDG,Drought,Avena fatua,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B3,BRODIA,45,8,2,B,3,SEDG,Drought,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B3,BROHOR,4,7,2,B,3,SEDG,Drought,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,B3,BROMAD,2,9,2,B,3,SEDG,Drought,Bromus madritensis,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/13/25,B3,CENMEL,5,2,2,B,3,SEDG,Drought,Centaurea melitensis,Non-native,Forb,Forb,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B3,EROCIC,3,7,2,B,3,SEDG,Drought,Erodium cicutarium,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,B3,MICCAL,1,8,2,B,3,SEDG,Drought,Micropus californicus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B3,EPI-1,1,1,2,B,3,SEDG,Drought,Epilobium brachycarpum,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B4,Bare,12,NA,2,B,4,ANGELO,Drought,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,B4,Litter,15,NA,2,B,4,ANGELO,Drought,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,B4,AVEBAR,7,4,2,B,4,ANGELO,Drought,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B4,BRODIA,9,2,2,B,4,ANGELO,Drought,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B4,BROHOR,3,5,2,B,4,ANGELO,Drought,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,B4,CLAPUR,2,2,2,B,4,ANGELO,Drought,Clarkia purpurea,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B4,MADGRA,4,2,2,B,4,ANGELO,Drought,Madia gracilis,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B4,GALPAR,1,6,2,B,4,ANGELO,Drought,Galium parisiense,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,B4,LACSER,1,1,2,B,4,ANGELO,Drought,Lactuca serriola,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,B4,DAUPUS,2,1,2,B,4,ANGELO,Drought,Daucus pusillus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B4,EPI-1,1,1,2,B,4,ANGELO,Drought,Epilobium brachycarpum,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,B4,ESCCAL,1,1,2,B,4,ANGELO,Drought,Eschscholzia californica,Native,Forb,Forb,Perennial,Native,Native,CalFlora
OTL,4/13/25,B5,Bare,8,NA,2,B,5,MCL,Drought,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,B5,Litter,12,NA,2,B,5,MCL,Drought,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,B5,AVEBAR,3,3,2,B,5,MCL,Drought,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B5,BRODIA,4,2,2,B,5,MCL,Drought,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,B5,BROHOR,3,5,2,B,5,MCL,Drought,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,B5,BROMAD,4,6,2,B,5,MCL,Drought,Bromus madritensis,Non-native,Grass,Grass,Annual,High,Invasive,Cal IPC
OTL,4/13/25,F1,BARE,11,NA,1,F,1,ANGELO,Control,Bare Ground,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F1,Litter,0,NA,1,F,1,ANGELO,Control,Litter,NA,NA,NA,NA,NA,NA,NA
OTL,4/13/25,F1,AVEBAR,6,4,1,F,1,ANGELO,Control,Avena barbata,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F1,BRODIA,11,1,1,F,1,ANGELO,Control,Bromus diandrus,Non-native,Grass,Grass,Annual,Moderate,Invasive,Cal IPC
OTL,4/13/25,F1,BROHOR,7,2,1,F,1,ANGELO,Control,Bromus hordeaceus,Non-native,Grass,Grass,Annual,Limited,Invasive,Cal IPC
OTL,4/13/25,F1,ESCCAL,20,4,1,F,1,ANGELO,Control,Eschscholzia californica,Native,Forb,Forb,Perennial,Native,Native,CalFlora
OTL,4/13/25,F1,GALPAR,8,4,1,F,1,ANGELO,Control,Galium parisiense,Non-native,Forb,Forb,Annual,Non-native,Non-native,CalFlora
OTL,4/13/25,F1,DAUPUS,1,1,1,F,1,ANGELO,Control,Daucus pusillus,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F1,MADGRA,15,1,1,F,1,ANGELO,Control,Madia gracilis,Native,Forb,Forb,Annual,Native,Native,CalFlora
OTL,4/13/25,F1,HYPGLA,5,2,1,F,1,ANGELO,Control,Hypochaeris glabra,Non-native,Forb,Forb,Annual,Limited,Invasive,Cal IPC
