Site,Date,Plot,Species,% Cover,Notes,
OTL,4/12/25,E1,UNK-CAR,10,1,
OTL,4/12/25,E1,CLAPUR,1,2,
OTL,4/12/25,E1,MADGRA,10,1,
OTL,4/12/25,E2,Bare,14,,
OTL,4/12/25,E2,Litter,1,,
OTL,4/12/25,E2,BROMAD,30,5,
OTL,4/12/25,E2,AVEBAR,19,4,
OTL,4/12/25,E2,BRODIA,3,3,
OTL,4/12/25,E2,BROARE,5,8,
OTL,4/12/25,E2,AMSMEN,1,8,
OTL,4/12/25,E2,EROCIC,16,5,
OTL,4/12/25,E2,PHATAN,1,6,
OTL,4/12/25,E2,SALCOL,2,6,
OTL,4/12/25,E2,EPI-1,1,1,
OTL,4/12/25,E2,UNK-CAR,3,1,
OTL,4/12/25,E2,LACSER,1,1,
OTL,4/12/25,E2,ESCCAL ,1,1,
OTL,4/12/25,E3,Bare,5,,
OTL,4/12/25,E3,Litter,1,,
OTL,4/12/25,E3,AVEBAR,20,4,
OTL,4/12/25,E3,BROHOR,13,2,
OTL,4/12/25,E3,BRODIA,5,1,
OTL,4/12/25,E3,ESCCAL,22,3,
OTL,4/12/25,E3,MADGRA,8,1,
OTL,4/12/25,E3,DAUPUS,1,1,
OTL,4/12/25,E3,GALPAR,1,2,
OTL,4/12/25,E3,HYPGLA,15,2,
OTL,4/12/25,E3,UNK-CAR,2,1,
OTL,4/12/25,E3,EPI-1,1,1,
OTL,4/12/25,E3,AIRCAR,1,2,
OTL,4/12/25,E3,CLAPUR,1,1,
OTL,4/12/25,E3,DANCAL,1,1,
OTL,4/12/25,E3,AMCMPAR,1,1,
OTL,4/12/25,E4,Bare,17,,
OTL,4/12/25,E4,Litter,1,,
OTL,4/12/25,E4,AVEBAR,18,4,
OTL,4/12/25,E4,BROMAD,25,5,
OTL,4/12/25,E4,BRODIA,14,3,
OTL,4/12/25,E4,BROARE,6,8,
OTL,4/12/25,E4,AMSMEN,6,8,
OTL,4/12/25,E4,PHATAN,1,6,
OTL,4/12/25,E4,EROCIC,16,6,
OTL,4/12/25,E4,ESCCAL ,2,1,
OTL,4/12/25,E4,EPI-1,1,1,
OTL,4/12/25,E4,UNK-CAR,1,1,
OTL,4/12/25,E4,SALCOL,1,2,
OTL,4/12/25,E5,Litter,6,,
OTL,4/12/25,E5,AVEFAT,3,3,
OTL,4/12/25,E5,BROMAD,5,5,
OTL,4/12/25,E5,BROHOR,4,5,
OTL,4/12/25,E5,STIPUL,10,4,
OTL,4/12/25,E5,MICCAL,1,7,
OTL,4/12/25,E5,CENMEL,4,2,
OTL,4/12/25,E5,CORFIL,2,1,
OTL,4/12/25,E5,UNK-CAR,1,1,
OTL,4/12/25,E5,EPI-1,1,1,
OTL,4/12/25,E5,ESCCAL,3,1,
OTL,4/12/25,E5,BRODIA,25,5,
OTL,4/12/25,E6,Bare,18,,
OTL,4/12/25,E6,Litter,3,,
OTL,4/12/25,E6,BRODIA,8,5,
OTL,4/12/25,E6,BROMAD,4,5,
OTL,4/12/25,E6,BROHOR,5,5,
OTL,4/12/25,E6,STIPUL,22,4,
OTL,4/12/25,E6,AVEFAT,4,4,
OTL,4/12/25,E6,CENMEL,6,2,
OTL,4/12/25,E6,EROCIC,1,6,
OTL,4/12/25,E6,MICCAL,1,6,
OTL,4/12/25,E6,EPI-1,1,1,
OTL,4/12/25,E6,LACSER,1,1,
OTL,4/12/25,E6,CORFIL,4,1,
OTL,4/12/25,E7,Bare,11,,
OTL,4/12/25,E7,Litter,1,,
OTL,4/12/25,E7,AVEBAR,20,3,
OTL,4/12/25,E7,BROHOR,3,3,
OTL,4/12/25,E7,BROMAD,5,5,
OTL,4/12/25,E7,EROBOT,9,5,
OTL,4/12/25,E7,CLAPUR,7,1,
OTL,4/12/25,E7,PLAERE,8,7,
OTL,4/12/25,E7,LUPBIC,3,6,
OTL,4/12/25,E7,TRIHIR,15,3,
OTL,4/12/25,E7,ELYCAP,4,1,
OTL,4/12/25,E7,MICCAL,2,5,
OTL,4/12/25,E7,UNK-CAR,12,1,
OTL,4/12/25,E7,EPI-1,1,1,
OTL,4/12/25,E7,HYGLA,1,2,
OTL,4/12/25,E7,BRODIA,7,3,
OTL,4/12/25,E8,Bare,11,,
OTL,4/12/25,E8,Litter,3,,
OTL,4/12/25,E8,AVEBAR,19,3,
OTL,4/12/25,E8,EROBOT,6,5,
OTL,4/12/25,E8,CLAPUR,4,2,
OTL,4/12/25,E8,LUPBIC,4,6,
OTL,4/12/25,E8,DAUPUS,1,1,
OTL,4/12/25,E8,TORARV,8,1,
OTL,4/12/25,E8,MADGRA,24,1,
OTL,4/12/25,E8,VISCAT,13,1,
OTL,4/12/25,E8,BROHOR,4,3,
OTL,4/12/25,E8,BRODIA,16,2,
OTL,4/12/25,E8,GERDIS,2,6,
OTL,4/12/25,E8,UNK-CAR,3,1,
OTL,4/12/25,E8,EPI-1,1,1,
OTL,4/13/25,B1,Bare,40,,
OTL,4/13/25,B1,Litter,16,,
OTL,4/13/25,B1,AVEBAR,11,4,
OTL,4/13/25,B1,BROHOR,10,5,
OTL,4/13/25,B1,BRODIA,5,4,
OTL,4/13/25,B1,MADGRA,10,3,
OTL,4/13/25,B1,CLAPUR,2,5,
OTL,4/13/25,B1,TORARV,10,1,
OTL,4/13/25,B1,VISCAT,3,1,
OTL,4/13/25,B1,GERDIS,2,7,
OTL,4/13/25,B1,DAUPUS,2,1,
OTL,4/13/25,B1,LACSER,1,1,
OTL,4/13/25,B1,TRIHIR,1,1,
OTL,4/13/25,B1,EROBOT,2,5,
OTL,4/13/25,B1,EPI-1,1,1,
OTL,4/13/25,B2,Bare,22,,
OTL,4/13/25,B2,Litter,5,,
OTL,4/13/25,B2,HOLVIR,15,1,
OTL,4/13/25,B2,AVEBAR,9,4,
OTL,4/13/25,B2,BROHOR,3,4,
OTL,4/13/25,B2,BRODIA,12,3,
OTL,4/13/25,B2,BROMAD,5,5,
OTL,4/13/25,B2,TRIHIR,20,4,
OTL,4/13/25,B2,MICCAL,1,6,
OTL,4/13/25,B2,EPI-1,1,1,
OTL,4/13/25,B2,LUPBIC,1,8,
OTL,4/13/25,B2,PLAERE,1,9,
OTL,4/13/25,B2,ELYCAP,5,2,
OTL,4/13/25,B2,CLAPUR,2,2,
OTL,4/13/25,B2,EROBOT,2,7,
OTL,4/13/25,B3,Bare,14,,
OTL,4/13/25,B3,Litter,16,,
OTL,4/13/25,B3,AVEFAT,2,10,
OTL,4/13/25,B3,BRODIA,45,8,
OTL,4/13/25,B3,BROHOR,4,7,
OTL,4/13/25,B3,BROMAD,2,9,
OTL,4/13/25,B3,CENMEL,5,2,
OTL,4/13/25,B3,EROCIC,3,7,
OTL,4/13/25,B3,MICCAL,1,8,
OTL,4/13/25,B3,EPI-1,1,1,
OTL,4/13/25,B4,Bare,12,,
OTL,4/13/25,B4,Litter,15,,
OTL,4/13/25,B4,AVEBAR,7,4,
OTL,4/13/25,B4,BRODIA,9,2,
OTL,4/13/25,B4,BROHOR,3,5,
OTL,4/13/25,B4,CLAPUR,2,2,
OTL,4/13/25,B4,MADGRA,4,2,
OTL,4/13/25,B4,GALPAR,1,6,
OTL,4/13/25,B4,LACSER,1,1,
OTL,4/13/25,B4,DAUPUS,2,1,
OTL,4/13/25,B4,EPI-1,1,1,
OTL,4/13/25,B4,ESCCAL,1,1,
OTL,4/13/25,B5,Bare,8,,
OTL,4/13/25,B5,Litter,12,,
OTL,4/13/25,B5,AVEBAR,3,3,
OTL,4/13/25,B5,BRODIA,4,2,
OTL,4/13/25,B5,BROHOR,3,5,
OTL,4/13/25,B5,BROMAD,4,6,
OTL,4/13/25,F1,BARE,11,,
OTL,4/13/25,F1,Litter,0,,
OTL,4/13/25,F1,AVEBAR,6,4,
OTL,4/13/25,F1,BRODIA,11,1,
OTL,4/13/25,F1,BROHOR,7,2,
OTL,4/13/25,F1,ESCCAL,20,4,
OTL,4/13/25,F1,GALPAR,8,4,
OTL,4/13/25,F1,DAUPUS,1,1,
OTL,4/13/25,F1,MADGRA,15,1,
OTL,4/13/25,F1,HYPGLA,5,2,
OTL,4/13/25,F1,CLAPUR,1,2,
OTL,4/13/25,F1,LACSER,1,1,
OTL,4/13/25,F1,EPI-1,1,1,
OTL,4/13/25,F1,AIRCAR,1,2,
OTL,4/13/25,F2,Bare,45,,
OTL,4/13/25,F2,Litter,2,,
OTL,4/13/25,F2,AVEBAR,10,4,
OTL,4/13/25,F2,BRODIA,9,4,
OTL,4/13/25,F2,BROMAD,5,5,
OTL,4/13/25,F2,BROARE,2,9,
OTL,4/13/25,F2,EROCIC,2,6,
OTL,4/13/25,F2,PHATAN,1,4,
OTL,4/13/25,F2,SALCOL,1,3,
OTL,4/13/25,F2,MIRMUL,1,1,
OTL,4/13/25,F2,GALPAR,1,1,
OTL,4/13/25,F2,AMSMEN,1,8,
OTL,4/13/25,F3,Bare,10,,
OTL,4/13/25,F3,Litter,0,,
OTL,4/13/25,F3,AVEBAR,15,4,
OTL,4/13/25,F3,BRODIA,5,3,
OTL,4/13/25,F3,BROHOR,4,4,
OTL,4/13/25,F3,CLAPUR,3,3,
OTL,4/13/25,F3,MADGRA,6,1,
OTL,4/13/25,F3,VISCAT,5,1,
OTL,4/13/25,F3,TORARU,2,1,
OTL,4/13/25,F3,TRIHIR,2,1,
OTL,4/13/25,F3,EROBOT,3,5,
OTL,4/13/25,F3,GERDIS,1,6,
OTL,4/13/25,F3,DAUPUS,1,1,
OTL,4/13/25,F4,Bare,13,,
OTL,4/13/25,F4,Litter,0,,
OTL,4/13/25,F4,AVEBAR,8,4,
OTL,4/13/25,F4,BRODIA,13,3,
OTL,4/13/25,B5,HOLVIR,6,1,
OTL,4/13/25,B5,TRIHIR,2,2,
OTL,4/13/25,B5,MICCAL,1,6,
OTL,4/13/25,B5,ELYCAP,0,,
OTL,4/13/25,B5,PLAERE,1,9,
OTL,4/13/25,B5,EROBOT,2,6,
OTL,4/13/25,B5,CLAPUR,1,1,
OTL,4/13/25,B5,EPI-1,1,1,
OTL,4/13/25,B5,LACSER,1,1,
OTL,4/13/25,B6,Bare,7,,
OTL,4/13/25,B6,Litter,3,,
OTL,4/13/25,B6,ESCCAL,5,4,
OTL,4/13/25,B6,BRODIA,6,6,
OTL,4/13/25,B6,BROHOR,3,6,
OTL,4/13/25,B6,BROMAD,5,8,
OTL,4/13/25,B6,AVEFAT,3,10,
OTL,4/13/25,B6,STIPUL,4,4,
OTL,4/13/25,B6,CENMEL,9,2,
OTL,4/13/25,B6,MICCAL,1,7,
OTL,4/13/25,B6,CORFIL,8,1,
OTL,4/13/25,B6,EROCIC,4,6,
OTL,4/13/25,B6,EPI-1,1,1,
OTL,4/13/25,B7,Bare,20,,
OTL,4/13/25,B7,Litter,4,,
OTL,4/13/25,B7,AVEBAR,3,3,
OTL,4/13/25,B7,BRODIA,4,2,
OTL,4/13/25,B7,BROHOR,3,5,
OTL,4/13/25,B7,CLAPUR,2,4,
OTL,4/13/25,B7,TORARV,18,1,
OTL,4/13/25,B7,MADGRA,4,2,
OTL,4/13/25,B7,GERDIS,5,7,
OTL,4/13/25,B7,DAUPUS,5,1,
OTL,4/13/25,B7,TRIHIR,1,2,
OTL,4/13/25,B8,Bare,4,,
OTL,4/13/25,B8,Litter,4,,
OTL,4/13/25,B8,AVEBAR,3,4,
