Population,Precip,Species,Sp_Code,Dominance Rank,1,2,3,10,30,seed_mass_avg,Weight Bulk 1,Weight Bulk 2,Weight Bulk 3,Weight Bulk 4,Weight Bulk 5,Weight Bulk 6,Weight Bulk 7,Weight Bulk Total,Total Seed Count,Seeds/plot,Notes,
BORR,500,Geranium dissectum,GERDIS,5,0.0032,0.0057,0.0078,0.0196,0.0525,0.0017,0.6062,,,,,,,0.6062,356.5882353,20,"Could get more, barely >100",
BORR,500,Vicia sativa,VICSAT,6,0.0364,0.0656,0.11,0.3731,1.0877,0.0363,10.0348,5.6024,,,,,,15.6372,430.7768595,20,,
BORR,500,Trifolium hirtum,TRIHIR,7,0.0028,0.0055,0.0079,0.0284,0.0889,0.003,2.851,,,,,,,2.851,950.3333333,20,,
BORR,500,Torilis arvensis,TORARV,9,0.0018,0.0029,0.0052,0.0175,0.0469,0.0016,1.8504,0.4909,,,,,,2.3413,1463.3125,20,"need more, not quite ripe",
BORR,500,Clarkia purpurea,CLAPUR,10,,,,0.0027,0.0093,0.0003,0.7562,,,,,,,0.7562,2520.666667,20,,
BORR,500,Bromus diandrus,BRODIA,12,0.0174,0.0278,0.0421,0.144,0.4136,0.0137,2.5162,,,,,,,2.5162,183.6642336,11,,
BORR,500,Daucus pusillus,DAUPUS,14,0.0011,0.0022,0.0031,0.0089,0.0291,0.001,2.8923,,,,,,,2.8923,2892.3,20,,
BORR,500,Bromus hordeaceaus,BROHOR,,,,,,,,,,,,,,,,,20,,
MCL ,700,Lupinus bicolor,LUPBIC,1,0.0125,0.0256,0.0401,0.1108,0.3198,0.0105,0.1863,11.0174,11.1324,,,,,22.3361,2127.247619,20,,
MCL ,700,Erodium botrys,EROBOT,2,0.0071,0.0147,0.0217,0.065,0.1839,0.0061,3.2307,0.8987,4.3277,,,,,8.4571,1386.409836,20,,
MCL ,700,Micropus californicus,MICCAL,3,0.0019,0.0033,0.0037,0.0136,0.0421,0.0014,3.5299,0.5608,,,,,,4.0907,2921.928571,20,In fruit,
MCL ,700,Elymus caput-medusae,ELYCAP,4,0.0052,0.0096,0.0157,0.057,0.1587,0.0053,3.7613,2.7481,2.9102,2.8692,2.7136,,,15.0024,2830.641509,20,,
MCL ,700,Clarkia purpurea,CLAPUR,5,,,,0.0039,0.0111,0.0004,4.5762,,,,,,,4.5762,11440.5,20,,
MCL ,700,Holocarpha virgata,HOLVIR,6,0.0069,0.0196,0.0291,0.0875,0.2166,0.0071,2.8265,2.9956,3.052,2.9451,3.023,2.8277,1.6137,19.2836,2716,20,High chaff content,Return October
MCL ,700,Plantago erecta,PLAERE,7,0.0016,0.0031,0.0045,0.0184,0.0594,0.002,2.4067,,,,,,,2.4067,1203.35,20,Weighed with some chaff,
MCL ,700,Trifolium hirtum,TRIHIR,8,0.0042,0.0076,0.0111,0.0321,0.0971,0.0032,2.0568,,,,,,,2.0568,642.75,20,,
MCL ,700,Avena barbata,AVEBAR,10,0.0171,0.273,0.0445,0.1687,0.5979,,3.4999,,,,,,,3.4999,#VALUE!,10,,
MCL ,700,Bromus hordeaceaus,BROHOR,11,0.0029,0.0057,0.0079,0.0262,0.0718,0.0024,1.6786,1.7594,,,,,,3.438,1432.5,20,,
MCL ,700,Bromus diandrus,BRODIA,12,0.0088,0.0171,0.0302,0.0985,0.3122,0.0105,4.5903,1.0002,,,,,,5.5905,532.4285714,20,,
MCL ,700,Bromus madritensis,BROMAD,,,,,,,,,,,,,,,,,20,,
ANGELO,1000,Danthonia californica,DANCAL,1,0.0052,0.0116,0.0179,0.0575,0.1642,0.0055,1.0253,1.9342,,,,,,2.9595,538.0909091,20,,
ANGELO,1000,Acmispon parviflorus,ACMPAR,4,0.0034,0.0057,0.009,0.0215,0.0616,0.002,0.3538,,,,,,,0.3538,176.9,12,"barely over 100, not sure of viability ",
ANGELO,1000,Galium parisiense,GALPAR,5,,,,0.012,0.0042,,0.9052,,,,,,,0.9052,#VALUE!,20,some debris,
ANGELO,1000,Bromus hordeaceaus,BROHOR,6,0.004,0.0077,0.0104,0.0337,0.0997,0.0033,0.7122,2.5072,,,,,,3.2194,975.5757576,20,awns still on,
ANGELO,1000,Hypochaeris glabra,HYPGLA,7,0.0002,0.001,0.0014,0.0045,0.0138,0.0005,0.6817,0.6276,,,,,,1.3093,2618.6,20,awns still on,
ANGELO,1000,Daucus pusillus,DAUPUS,8,0.0018,0.0031,0.0043,0.0108,0.0324,0.001,2.3825,3.3049,,,,,,5.6874,5687.4,20,in fruit,
ANGELO,1000,Aira caryophyllea,AIRCAR,9,,,,0.0008,0.0032,0.0001,0.123,,,,,,,0.123,1230,20,,
ANGELO,1000,Sanicula bipinnatifida,SANBIP,11,0.0059,0.0126,0.0196,0.068,0.1977,0.0066,0.8299,,,,,,,0.8299,125.7424242,8,not sure that many more than 100,
ANGELO,1000,Bromus diandrus,BRODIA,13,0.0193,0.0344,0.0512,0.1667,0.4986,0.0166,3.3445,3.8916,,,,,,7.2361,435.9096386,20,awns still on,
ANGELO,1000,Madia gracilis,MADGRA,14,0.0013,0.0018,0.0026,0.0113,0.0363,0.0012,3.7227,,,,,,,3.7227,3102.25,20,,
ANGELO,1000,Clarkia purpurea,CLAPUR,18,0.0003,0.001,0.0012,0.0035,0.0105,0.0003,1.4331,,,,,,,1.4331,4777,20,,
ANGELO,1000,Eschscholzia californica,ESCCAL,19,0.001,0.0022,0.0037,0.0121,0.0353,0.0012,0.888,,,,,,,0.888,740,20,,
